accreditation_code,station_name,state,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,search_name,search_query,latitude,longitude,geocoded_address,geocoded_place_name
SRPYNSI0,LEPPINGTON BP 1 & BESS - SOLAR - NSW,NSW,2179.0,0.732,Solar,2025-10-03,2026-03-04,LEPPINGTON BP 1 & BESS,"LEPPINGTON BP 1 & BESS, NSW, Australia",-33.970587,150.8129851,"1389 Camden Valley Wy, Leppington NSW 2179",bp Truckstop
WD00WA29,SUMMERGOLD - WIND W SGU- WA,WA,6507.0,1.973,Wind,2026-02-01,2026-03-04,SUMMERGOLD,"SUMMERGOLD, WA, Australia",41.5372904,-87.4833594,"1868 W 45th St, Munster, IN 46321, USA",SUMMERGOLD Beauty + Wellness Club
SRPXQLQ5,SUNSHINE COAST AIRPORT - SOLAR - QLD,QLD,4564.0,0.19,Solar,2026-01-23,2026-03-04,SUNSHINE COAST AIRPORT,"SUNSHINE COAST AIRPORT, QLD, Australia",-26.6001076,153.08856409999999,"Friendship Ave, Marcoola QLD 4564",Sunshine Coast Airport
SRPXQLO9,BUNDABERG SOLAR FARM - SOLAR - QLD,QLD,4671.0,96.054,Solar,2026-01-15,2026-03-05,BUNDABERG SOLAR FARM,"BUNDABERG SOLAR FARM, QLD, Australia",-24.8725591,152.347315,"Shed 5/121 George St, Bundaberg Central QLD 4670",Bundaberg Solar
WD00VC52,GOLDEN PLAINS WIND FARM WEST - WIND - VIC,VIC,3352.0,576.6,Wind,2026-01-28,2026-03-05,GOLDEN PLAINS WIND FARM WEST,"GOLDEN PLAINS WIND FARM WEST, VIC, Australia",-37.9472059,143.7506694,"3Q32+WP, Rokewood VIC 3330",Golden Plains Wind Farm - East (Stage 1) Site Office
SRPXSA15,LAUCKE MILLS - SOLAR - SA,SA,5355.0,1.311,Solar,2025-10-16,2026-03-11,LAUCKE MILLS,"LAUCKE MILLS, SA, Australia",-34.4775164,138.8632462,"1519 Sturt Hwy, Daveyston SA 5360",Laucke Mills
SRPXQLP7,AU923 REDBANK WEEDMAN STREET - SOLAR W SGU - QLD,QLD,4301.0,0.375,Solar,2026-02-20,2026-03-16,AU923 REDBANK WEEDMAN STREET,"AU923 REDBANK WEEDMAN STREET, QLD, Australia",-27.5919498,152.880261,"Monash Rd, Redbank QLD 4301",Redbank Motorway Estate
SRPYNSD0,INGLEBURN LOGISTICS PARK WH1 & BESS - SOLAR - NSW,NSW,2565.0,0.73,Solar,2026-02-23,2026-03-16,INGLEBURN LOGISTICS PARK WH1 & BESS,"INGLEBURN LOGISTICS PARK WH1 & BESS, NSW, Australia",-34.0075768,150.8513047,"35 Stennett Rd, Ingleburn NSW 2565",Stockland Ingleburn Logistics Park
SRPXVCW3,ROMSEY COMMUNITY AGED CARE - SOLAR W SGU - VIC,VIC,3434.0,0.2,Solar,2026-03-11,2026-03-16,ROMSEY COMMUNITY AGED CARE,"ROMSEY COMMUNITY AGED CARE, VIC, Australia",-37.3394424,144.7390734,"40 Goodenia La, Romsey VIC 3434",Romsey Community Aged Care
SRPYNSK4,ALBION PARK - SOLAR W SGU - NSW,NSW,2527.0,0.222,Solar,2026-01-29,2026-03-20,ALBION PARK,"ALBION PARK, NSW, Australia",-34.5755371,150.7764301,Albion Park NSW 2527,Albion Park
SRPXQLN8,AUSTRALIAN STOCKMAN'S HALL OF FAME - SOLAR W SGU - QLD,QLD,4730.0,0.391,Solar,2026-02-11,2026-03-20,AUSTRALIAN STOCKMAN'S HALL OF FAME,"AUSTRALIAN STOCKMAN'S HALL OF FAME, QLD, Australia",-23.444297,144.274864,"Landsborough Hwy, Longreach QLD 4730",Australian Stockman's Hall of Fame & Outback Heritage Centre
SRPXQLN6,BROADSOUND SOLAR FARM PTY LTD-SOLAR-QLD,QLD,4705.0,377.435,Solar,2025-12-13,2026-03-20,BROADSOUND SOLAR FARM PTY LTD,"BROADSOUND SOLAR FARM PTY LTD, QLD, Australia",-22.8145664,149.3927768,"Marlborough Sarina Rd, Sarina QLD 4705",Broad Sound Solar Farm
SRPYNSK1,BUNNINGS FRENCHS FOREST - SOLAR - NSW,NSW,2086.0,0.481,Solar,2025-12-10,2026-03-20,BUNNINGS FRENCHS FOREST,"BUNNINGS FRENCHS FOREST, NSW, Australia",-33.7536722,151.2439888,"Corner of Warringah Road and, Allambie Rd, Frenchs Forest NSW 2086",Bunnings Frenchs Forest
SRPXQLQ7,HOMECO COOMERA CITY CENTRE - SOLAR W SGU - QLD,QLD,4209.0,0.45,Solar,2026-03-12,2026-03-20,HOMECO COOMERA CITY CENTRE,"HOMECO COOMERA CITY CENTRE, QLD, Australia",-27.8495154,153.301637,"1 Commercial St, Upper Coomera QLD 4209",HomeCo. Coomera City
SRPXSA18,CENTRAL PLAZA - SOLAR W SGU - SA,SA,5000.0,0.22,Solar,2025-12-12,2026-03-23,CENTRAL PLAZA,"CENTRAL PLAZA, SA, Australia",-34.9215717,138.6033621,"100 Rundle Mall, Adelaide SA 5000",Adelaide Central Plaza Shopping Centre
SRPXQLQ8,HOMECO MACKAY A - SOLAR - QLD,QLD,4740.0,0.35000000000000003,Solar,2026-03-12,2026-03-23,HOMECO MACKAY A,"HOMECO MACKAY A, QLD, Australia",-21.0987982,149.1586596,"Cnr Mackay-Bucasia and, Holts Rd, Mackay QLD 4740",HomeCo. Mackay
SRPXQLN4,WOOLWORTHS SARINA 2518 - SOLAR - QLD,QLD,4737.0,0.201,Solar,2026-03-11,2026-03-23,WOOLWORTHS SARINA 2518,"WOOLWORTHS SARINA 2518, QLD, Australia",-21.4242294,149.2188852,"20 Broad St, Sarina QLD 4737",Woolworths Sarina
SRPYNSJ4,AGRIGHT GRIFFITH CARRATHOOL - SOLAR - NSW,NSW,2711.0,0.47200000000000003,Solar,2025-11-11,2026-03-27,AGRIGHT GRIFFITH CARRATHOOL,"AGRIGHT GRIFFITH CARRATHOOL, NSW, Australia",-33.8363451,151.2077855,"Suite 201, 201 Miller st, North Sydney, NSW 2210 02 7201, North Sydney NSW 0776",Agright
SRPXQLQ9,HOMECO MACKAY B - SOLAR W SGU - QLD,QLD,4740.0,0.231,Solar,2026-03-23,2026-03-27,HOMECO MACKAY B,"HOMECO MACKAY B, QLD, Australia",-21.0987982,149.1586596,"Cnr Mackay-Bucasia and, Holts Rd, Mackay QLD 4740",HomeCo. Mackay
SRPYNSL3,WOOLWORTHS CALDERWOOD VILLAGE CENTRE 1051 - SOLAR - NSW,NSW,2527.0,0.242,Solar,2026-03-24,2026-03-31,WOOLWORTHS CALDERWOOD VILLAGE CENTRE 1051,"WOOLWORTHS CALDERWOOD VILLAGE CENTRE 1051, NSW, Australia",-34.5719791,150.7462195,"17 Connection Rd, Calderwood NSW 2527",Woolworths Calderwood Village
SRPYNSL1,WOOLWORTHS LISAROW 1574 - SOLAR W SGU - NSW,NSW,2250.0,0.269,Solar,2026-03-16,2026-03-31,WOOLWORTHS LISAROW 1574,"WOOLWORTHS LISAROW 1574, NSW, Australia",-33.3863678,151.3669281,"3 Parsons Rd, Lisarow NSW 2250",Woolworths Lisarow
