reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,scope1_tco2e,scope2_tco2e,total_emissions_tco2e,emission_intensity,grid_connected,grid,primary_fuel,important_notes,year_range,matched_name,matched_address,state_1,latitude,longitude
ACCIONA ENERGY OCEANIA PTY LTD,GUNNING WIND FARM,F,NSW,567719.0,157700.0,19.0,293.0,312.0,0.0019784400760938493,On,NEM,Wind,N/A,2014-15,Gunning Wind Farm,"Gunning NSW 2581, Australia",NSW,-34.6905625,149.4270092
ACCIONA ENERGY OCEANIA PTY LTD,ROYALLA SOLAR FARM,F,ACT,213115.0,59199.0,0.0,15.0,15.0,0.0002533826584908529,On,NEM,Solar,N/A,2014-15,Royalla Solar Farm,"Australian Capital Territory 2900, Australia",ACT,-35.4897929,149.14300179999998
ACCIONA ENERGY OCEANIA PTY LTD,WAUBRA WIND FARM,F,VIC,2461803.0,683834.0,77.0,1144.0,1221.0,0.0017855210475056812,On,NEM,Wind,N/A,2014-15,Waubra Wind Farm,"275 Harrisons Rd, Waubra VIC 3352, Australia",VIC,-37.3946388,143.6386011
ACCIONA ENERGY OCEANIA PTY LTD,CORPORATE TOTAL,C,N/A,3242637.0,900733.0,96.0,1452.0,1548.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
AGL ENERGY LIMITED,BANIMBOOLA HYDRO,F,VIC,137094.0,38082.0,5.0,17.0,22.0,0.0005777007510109763,On,NEM,Hydro,N/A,2014-15,Banimboola Hydroelectric Power Station,"Dartmouth VIC 3701, Australia",VIC,-36.5335771,147.4603458
AGL ENERGY LIMITED,BAYSWATER POWER STATION,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429.0,0.8779843513590344,On,NEM,Black Coal,N/A,2014-15,ACEREZ,"New England Hwy, Muswellbrook NSW 2333, Australia",NSW,-32.3838413,150.9522752
AGL ENERGY LIMITED,BOGONG POWER STATION,F,VIC,266917.0,74144.0,83.0,839.0,922.0,0.012435261113508848,On,NEM,Hydro,N/A,2014-15,Bogong Power Station,"Bogong VIC 3699, Australia",VIC,-36.8057885,147.22811579999998
AGL ENERGY LIMITED,BURRENDONG HYDRO,F,NSW,27428.0,7619.0,1.0,97.0,98.0,0.012862580391127445,On,NEM,Hydro,N/A,2014-15,Burrendong Dam,"Lake Burrendong NSW 2820, Australia",NSW,-32.668092699999995,149.1081077
AGL ENERGY LIMITED,CLOVER HYDRO,F,VIC,151368.0,42047.0,3.0,51.0,54.0,0.0012842771184626727,On,NEM,Hydro,N/A,2014-15,Clover Pipelines,"320 Hume Hwy, Craigieburn VIC 3064, Australia",VIC,-37.6150311,144.9479476
AGL ENERGY LIMITED,COOPERS COGENERATION,F,SA,91666.0,25463.0,19260.0,86.0,19346.0,0.7597690766995248,On,NEM,Gas,N/A,2014-15,Coopers Gap Wind Farm,"964 Niagara Rd, Boyneside QLD 4610, Australia",QLD,-26.732897,151.4721505
AGL ENERGY LIMITED,COPETON HYDRO,F,NSW,139785.0,38829.0,1.0,75.0,76.0,0.0019572999562182903,On,NEM,Hydro,N/A,2014-15,Copeton Dam,"Copeton Dam Rd, Copeton NSW 2359, Australia",NSW,-29.904755800000004,150.92393239999998
AGL ENERGY LIMITED,DARTMOUTH HYDRO,F,VIC,1608089.0,446691.0,0.0,727.0,727.0,0.0016275232767170146,On,NEM,Hydro,N/A,2014-15,Banimboola Hydroelectric Power Station,"Dartmouth VIC 3701, Australia",VIC,-36.5335771,147.4603458
AGL ENERGY LIMITED,EILDON HYDRO,F,VIC,710341.0,197317.0,20.0,153.0,173.0,0.000876761758996944,On,NEM,Hydro,N/A,2014-15,Rubicon Power Station,"Rubicon VIC 3712, Australia",VIC,-37.3271578,145.8605406
AGL ENERGY LIMITED,GLENBAWN HYDRO,F,NSW,42254.0,11737.0,0.0,16.0,16.0,0.001363210360398739,On,NEM,Hydro,N/A,2014-15,Lake Glenbawn,"Brush Hill Lookout Rd, Glenbawn NSW 2337, Australia",NSW,-32.0939757,150.9891361
AGL ENERGY LIMITED,GLENORCHY LANDFILL GENERATION,F,TAS,43117.0,11977.0,745.0,1.0,746.0,0.062286048259163396,On,NEM,Landfill Gas,N/A,2014-15,Waste Management Centre,"26A Jackson St, Glenorchy TAS 7010, Australia",TAS,-42.8413868,147.2546177
AGL ENERGY LIMITED,HALLETT (STAGE 1) WIND FARM,F,SA,1136668.0,315741.0,135.0,217.0,352.0,0.0011148377942680869,On,NEM,Wind,N/A,2014-15,Hallett Hill Wind Farm,"Booborowie SA 5417, Australia",SA,-33.5573497,138.8486196
AGL ENERGY LIMITED,HALLETT (STAGE 2) WIND FARM,F,SA,858516.0,238477.0,85.0,187.0,272.0,0.0011405712081248925,On,NEM,Wind,N/A,2014-15,Hallett Hill Wind Farm,"Booborowie SA 5417, Australia",SA,-33.5573497,138.8486196
AGL ENERGY LIMITED,HALLETT (STAGE 4) WIND FARM,F,SA,1543714.0,428809.0,133.0,360.0,493.0,0.0011496960185070743,On,NEM,Wind,N/A,2014-15,Hallett Hill Wind Farm,"Booborowie SA 5417, Australia",SA,-33.5573497,138.8486196
AGL ENERGY LIMITED,HALLETT (STAGE 5) WIND FARM,F,SA,489049.0,135847.0,75.0,175.0,250.0,0.0018403056379603525,On,NEM,Wind,N/A,2014-15,Hallett Hill Wind Farm,"Booborowie SA 5417, Australia",SA,-33.5573497,138.8486196
AGL ENERGY LIMITED,HOBART LANDFILL GENERATION,F,TAS,27374.0,7604.0,427.0,0.0,427.0,0.05615465544450289,On,NEM,Landfill Gas,N/A,2014-15,McRobies Gully Waste Management Centre (The Tip),"Mcrobies Rd, South Hobart TAS 7004, Australia",TAS,-42.8886413,147.2893066
AGL ENERGY LIMITED,HUNTER VALLEY GAS TURBINES,F,NSW,901.0,250.0,355.0,869.0,1224.0,4.896,On,NEM,Gas,N/A,2014-15,Hunter Valley Electrics,"400C Standen Dr, Lower Belford NSW 2335, Australia",NSW,-32.6168661,151.338348
AGL ENERGY LIMITED,KINCUMBER LANDFILL GENERATION,F,NSW,14613.0,4059.0,238.0,5.0,243.0,0.0598669623059867,On,NEM,Landfill Gas,N/A,2014-15,Kincumber Waste Transfer Facility,"Cullens Rd, Kincumber NSW 2251, Australia",NSW,-33.474498700000005,151.4036812
AGL ENERGY LIMITED,LIDDELL POWER STATION,F,NSW,24864251.0,6906736.0,6514993.0,46355.0,6561348.0,0.9499925869470036,On,NEM,Black Coal,N/A,2014-15,Liddell 330kV Substation,"Muswellbrook NSW 2333, Australia",NSW,-32.3706857,150.97484559999998
AGL ENERGY LIMITED,LOY YANG POWER STATION AND MINE,F,VIC,58415084.0,16226412.0,18508708.0,268516.0,18777224.0,1.1572012346290725,On,NEM,Brown Coal,N/A,2014-15,Loy Yang B Power Station,"Bartons Ln, Traralgon VIC 3844, Australia",VIC,-38.2567843,146.5860271
AGL ENERGY LIMITED,MACARTHUR WIND FARM,F,VIC,3589748.0,997152.0,371.0,2655.0,3026.0,0.0030346426623022366,On,NEM,Wind,N/A,2014-15,AGL Macarthur Wind Farm,"1850 MacArthur-Hawkesdale Rd, Macarthur VIC 3286, Australia",VIC,-38.0490795,142.1915163
AGL ENERGY LIMITED,MCKAY CREEK HYDRO,F,VIC,317552.0,88209.0,0.0,6185.0,6185.0,0.07011756170005329,On,NEM,Hydro,N/A,2014-15,McKay Creek Hydroelectric Power Station,"McKay Power Station Rd, Falls Creek VIC 3699, Australia",VIC,-36.8584393,147.23497670000003
AGL ENERGY LIMITED,MORANBAH POWER STATION,F,QLD,82912.0,23031.0,12327.0,1142.0,13469.0,0.5848204593808345,On,NEM,Coal Seam Methane,N/A,2014-15,Moranbah North Coal PTY Ltd.,"Goonyella Rd, Moranbah QLD 4744, Australia",QLD,-21.8853292,147.9657585
AGL ENERGY LIMITED,NYNGAN SOLAR PLANT,F,NSW,33769.0,9380.0,9.0,59.0,68.0,0.007249466950959489,On,NEM,Solar,N/A,2014-15,Nyngan Solar Plant,"Nyngan NSW 2825, Australia",NSW,-31.5662057,147.0707349
AGL ENERGY LIMITED,OAKLANDS HILL WIND FARM,F,VIC,526539.0,146261.0,68.0,637.0,705.0,0.004820150279295232,On,NEM,Wind,N/A,2014-15,AGL Oaklands Hill Wind Farm,"3064 Caramut-Glenthompson Rd, Glenthompson VIC 3293, Australia",VIC,-37.681343,142.5526543
AGL ENERGY LIMITED,ROCKINGHAM LANDFILL GENERATION,F,WA,77364.0,21490.0,1320.0,6.0,1326.0,0.06170311772917636,On,SWIS,Landfill Gas,N/A,2014-15,Millar Road Landfill and Recycling Facility,"204 Millar Rd W, Baldivis WA 6171, Australia",WA,-32.285241,115.81682049999998
AGL ENERGY LIMITED,RUBICON HYDRO SCHEME,F,VIC,167206.0,46446.0,0.0,47.0,47.0,0.0010119278301683676,On,NEM,Hydro,N/A,2014-15,Rubicon Power Station,"Rubicon VIC 3712, Australia",VIC,-37.3271578,145.8605406
AGL ENERGY LIMITED,SHOALHAVEN LANDFILL GENERATION,F,NSW,19739.0,5483.0,356.0,8.0,364.0,0.06638701440817071,On,NEM,Landfill Gas,N/A,2014-15,Veolia Shoalhaven,"1 Investigator St, South Nowra NSW 2541, Australia",NSW,-34.9092645,150.5861811
AGL ENERGY LIMITED,SOMERTON POWER STATION,F,VIC,37669.0,10464.0,8378.0,2036.0,10414.0,0.9952217125382263,On,NEM,Gas,N/A,2014-15,Somerton Switching Station,"Somerton VIC 3062, Australia",VIC,-37.6314781,144.9529872
AGL ENERGY LIMITED,SUNCOAST BIOMASS GENERATION PLANT,F,QLD,3091.0,859.0,38.0,69.0,107.0,0.12456344586728754,On,NEM,Macadamia Nut Shells,N/A,2014-15,Verdant Earth Technologies,"112 Long Point Rd W, Warkworth NSW 2330, Australia",NSW,-32.580088499999995,151.0718822
AGL ENERGY LIMITED,TORRENS ISLAND POWER STATION,F,SA,6057169.0,1682547.0,983263.0,15130.0,998393.0,0.5933819382162876,On,NEM,Gas/Diesel,N/A,2014-15,Torrens Island Power Station generaacity,"Grand Trunkway, Torrens Island SA 5015, Australia",SA,-34.8066718,138.5232577
AGL ENERGY LIMITED,WATTLE POINT WIND FARM,F,SA,937578.0,260438.0,49.0,229.0,278.0,0.0010674325559250186,On,NEM,Wind,N/A,2014-15,Wattle Point Wind Farm,"389 Sheoak Beach Rd, Edithburgh SA 5583, Australia",SA,-35.1117422,137.7212617
AGL ENERGY LIMITED,WERRIBEE BIOGAS GENERATOR,F,VIC,196824.0,54673.0,2902.0,1498.0,4400.0,0.0804784811515739,On,NEM,Biogas,N/A,2014-15,Melbourne Water Discovery Centre,"LOT 1 New Farm Rd, Werribee VIC 3030, Australia",VIC,-37.91447060000001,144.6435241
AGL ENERGY LIMITED,WEST KIEWA HYDRO,F,VIC,422961.0,117489.0,0.0,1709.0,1709.0,0.014546042608244176,On,NEM,Hydro,N/A,2014-15,West Kiewa power station,"Mount Beauty VIC 3699, Australia",VIC,-36.7600806,147.1860601
AGL ENERGY LIMITED,WILPENA POUND SOLAR GENERATION,F,SA,3172.0,881.0,624.0,0.0,624.0,0.7082860385925085,Off,Off-grid,Solar,N/A,2014-15,Wilpena Pound Solar Panel lookout,"Unnamed Road, Flinders Ranges SA 5434, Australia",SA,-31.5220661,138.61987639999998
AGL ENERGY LIMITED,WOY WOY LANDFILL GENERATION,F,NSW,31209.0,8669.0,469.0,2.0,471.0,0.054331526127581034,On,NEM,Landfill Gas,N/A,2014-15,Woy Woy Waste Management Facility,"Nagari Rd, Woy Woy NSW 2256, Australia",NSW,-33.5039862,151.29169199999998
AGL ENERGY LIMITED,YARRAWONGA HYDRO,F,VIC,180662.0,50184.0,0.0,46.0,46.0,0.0009166268133269568,On,NEM,Hydro,N/A,2014-15,Yarrawonga Weir,"Yarrawonga VIC 3730, Australia",VIC,-36.0086718,145.99932479999998
AGL ENERGY LIMITED,CORPORATE TOTAL,C,N/A,153528941.0,42646928.0,38308564.0,358510.0,38667074.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
ALCOA AUSTRALIAN HOLDINGS PTY LTD,ALINTA PINJARRA GENERATION FACILITY,F,WA,5900732.0,1639092.0,1301720.0,246.0,1301966.0,0.7943214901909106,On,SWIS,Gas,N/A,2014-15,Pinjarra Power Station,"Oakley WA 6208, Australia",WA,-32.6462926,115.9464342
ALCOA AUSTRALIAN HOLDINGS PTY LTD,ALINTA WAGERUP GENERATION FACILITY,F,WA,637048.0,176958.0,111432.0,6229.0,117661.0,0.6649091874908171,On,SWIS,Gas/Diesel,N/A,2014-15,Alinta Wagerup Peaking Power Station,"Wagerup WA 6215, Australia",WA,-32.9159809,115.9188766
ALCOA AUSTRALIAN HOLDINGS PTY LTD,ANGLESEA POWER STATION,F,VIC,4536940.0,1260261.0,1374358.0,411.0,1374769.0,1.0908605439666863,On,NEM,Brown Coal,N/A,2014-15,Anglesea Power Station,"Anglesea Power Station, Anglesea VIC 3230, Australia",VIC,-38.3879685,144.1815487
ALCOA AUSTRALIAN HOLDINGS PTY LTD,CORPORATE TOTAL,C,N/A,11074720.0,3076311.0,2787510.0,6886.0,2794396.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
ALINTA ENERGY FINANCE PTY LTD,AUGUSTA POWER STATIONS,F,SA,9524596.0,2645721.0,2734413.0,7994.0,2742407.0,1.0365442917072512,On,NEM,Brown Coal,N/A,2014-15,Port Augusta,"South Australia, Billa Kalina SA 5720, Australia",SA,-30.0002315,136.2091547
ALINTA ENERGY FINANCE PTY LTD,BAIRNSDALE POWER STATION,F,VIC,539356.0,149821.0,81092.0,1008.0,82100.0,0.5479872648026645,On,NEM,Gas,N/A,2014-15,Bairnsdale Power Station,"45 Power Station Rd, Hillside VIC 3875, Australia",VIC,-37.8428384,147.563966
ALINTA ENERGY FINANCE PTY LTD,BRAEMAR POWER STATION,F,QLD,7907969.0,2196658.0,1243347.0,829.0,1244176.0,0.5663949508753753,On,NEM,Coal Seam Methane,N/A,2014-15,Braemar 2 Gas Power Station,"127 Grahams Rd, Kogan QLD 4406, Australia",QLD,-27.113373,150.9055138
ALINTA ENERGY FINANCE PTY LTD,NEWMAN POWER STATION,F,WA,832806.0,231335.0,138146.0,0.0,138146.0,0.5971686082953293,Off,Off-grid,Gas,N/A,2014-15,Newman Power Station,"Newman WA 6753, Australia",WA,-23.3439244,119.7090905
ALINTA ENERGY FINANCE PTY LTD,PORT HEDLAND POWER STATION,F,WA,1763554.0,489876.0,388562.0,0.0,388562.0,0.7931843976843119,On,NWIS,Gas,N/A,2014-15,Port Hedland Power Station,"LOT 255 Boodarie Station Access Rd, Boodarie WA 6722, Australia",WA,-20.4280016,118.5502998
ALINTA ENERGY FINANCE PTY LTD,CORPORATE TOTAL,C,N/A,20568281.0,5713411.0,4585560.0,9831.0,4595391.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
APT PIPELINES LIMITED,EMU DOWNS WIND FARM,F,WA,913852.0,253848.0,91.0,343.0,434.0,0.0017096845356276197,On,SWIS,Wind,N/A,2014-15,Emu Downs Wind Farm Lookout,"1192 Bibby Rd, Badgingarra WA 6521, Australia",WA,-30.4756515,115.381241
APT PIPELINES LIMITED,CORPORATE TOTAL,C,N/A,913852.0,253848.0,91.0,343.0,434.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
ARROW ENERGY HOLDINGS PTY LTD,BRAEMAR 2 POWER STATION,F,QLD,9370735.0,2602982.0,1530289.0,854.0,1531143.0,0.588226503295067,On,NEM,Coal Seam Methane,N/A,2014-15,Braemar 2 Gas Power Station,"127 Grahams Rd, Kogan QLD 4406, Australia",QLD,-27.113373,150.9055138
ARROW ENERGY HOLDINGS PTY LTD,CORPORATE TOTAL,C,N/A,9370735.0,2602982.0,1530289.0,854.0,1531143.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
ATCO AUSTRALIA PTY. LTD.,BULWER ISLAND ENERGY PARTNERSHIP FACILITY,F,QLD,,,126378.0,45354.0,171732.0,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014-15,Bp Bulwer Island Pty Ltd,"398 Tingira St, Pinkenba QLD 4008, Australia",QLD,-27.4160086,153.1359449
ATCO AUSTRALIA PTY. LTD.,KARRATHA POWER STATION,F,WA,1706994.0,474165.0,270985.0,0.0,270985.0,0.5714993725812745,On,NWIS,Gas,N/A,2014-15,ATCO Power Station Karratha,"Lot 1996 Stovehill Rd, Stove Hill WA 6714, Australia",WA,-20.7630673,116.8372093
ATCO AUSTRALIA PTY. LTD.,OSBORNE FACILITY,F,SA,,,608632.0,167.0,608799.0,,On,NEM,Gas,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014-15,Osborne Naval Shipyard,"61 Veitch Rd, Osborne SA 5018, Australia",SA,-34.78828180000001,138.51108449999998
ATCO AUSTRALIA PTY. LTD.,CORPORATE TOTAL,C,N/A,1706994.0,474165.0,1005995.0,45521.0,1051516.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP BELMONT ADMINISTRATION & KALAMUNDA FACILITY,FA,WA,20.0,6.0,19.0,18.0,37.0,6.166666666666667,On,SWIS,Liquid Fuel,N/A,2014-15,Kalamunda Community Centre,"Hedley Jorgensen Park, 2 Crescent Rd, Kalamunda WA 6076, Australia",WA,-31.9720062,116.0654831
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP CANNING VALE FACILITY,F,WA,2380.0,661.0,36.0,10.0,46.0,0.06959152798789713,On,SWIS,Landfill Gas,N/A,2014-15,Australia Post - Canning Vale South LPO,"Livingston Marketplace Shopping Centre, Shop 28/100-104 Ranford Rd, Canning Vale WA 6155, Australia",WA,-32.0850911,115.9174984
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP RED HILL FACILITY,F,WA,91876.0,25521.0,1277.0,1.0,1278.0,0.05007640766427648,On,SWIS,Landfill Gas,N/A,2014-15,,,,,
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP TAMALA PARK FACILITY,F,WA,114770.0,31881.0,1588.0,2.0,1590.0,0.049872965088924436,On,SWIS,Landfill Gas,N/A,2014-15,Tamala Park Waste Management Facility - Mindarie Regional Council (MRC),"1700K Marmion Ave, Tamala Park WA 6030, Australia",WA,-31.7072861,115.72266940000002
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,CORPORATE TOTAL,C,N/A,209046.0,58068.0,2920.0,31.0,2951.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
AXIA ENERGY AUSTRALIA PTY LTD,SMITHFIELD POWER PARTNERSHIP,F,NSW,3486738.0,968538.0,460102.0,0.0,460102.0,0.4750479588823567,On,NEM,Gas,N/A,2014-15,Power Partners Australia,"439 Moreland Rd, Pascoe Vale South VIC 3044, Australia",VIC,-37.7528206,144.9428589
AXIA ENERGY AUSTRALIA PTY LTD,CORPORATE TOTAL,C,N/A,3486738.0,968538.0,460102.0,0.0,460102.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,CONDAMINE POWER STATION,F,QLD,2754361.0,765100.0,333565.0,526.0,334091.0,0.43666318128349235,On,NEM,Gas,N/A,2014-15,Condamine Power Station,"Columboola QLD 4415, Australia",QLD,-26.6681504,150.270009
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,CORPORATE TOTAL,C,N/A,2754361.0,765100.0,333565.0,526.0,334091.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
BHP BILLITON IRON ORE PTY. LTD.,YARNIMA POWER STATION IOP,F,WA,1652126.0,458924.0,307351.0,0.0,307351.0,0.6697209123950807,Off,Off-grid,Gas,N/A,2014-15,Yarnima Power Station,"Newman WA 6753, Australia",WA,-23.3435575,119.7109647
BHP BILLITON IRON ORE PTY. LTD.,CORPORATE TOTAL,C,N/A,1652126.0,458924.0,307351.0,0.0,307351.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
BLUEWATERS POWER 1 PTY LTD,BLUEWATERS POWER 1,F,WA,6025829.0,1673841.0,1482015.0,2327.0,1484342.0,0.8867879326650501,On,SWIS,Black Coal,N/A,2014-15,Bluewaters Power Station,"Boys Home Rd, Collie WA 6225, Australia",WA,-33.3297691,116.2265472
BLUEWATERS POWER 1 PTY LTD,CORPORATE TOTAL,C,N/A,6025829.0,1673841.0,1482015.0,2327.0,1484342.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
BLUEWATERS POWER 2 PTY LTD,BLUEWATERS POWER 2,F,WA,6078158.0,1688377.0,1377635.0,1775.0,1379410.0,0.817003548378117,On,SWIS,Black Coal,N/A,2014-15,Bluewaters Power Station,"Boys Home Rd, Collie WA 6225, Australia",WA,-33.3297691,116.2265472
BLUEWATERS POWER 2 PTY LTD,CORPORATE TOTAL,C,N/A,6078158.0,1688377.0,1377635.0,1775.0,1379410.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
BPIH PTY LIMITED,BROOKFIELD DISTRICT ENERGY (GX) PTY LTD,F,NSW,78204.0,21723.0,11861.0,22049.0,33910.0,1.5610182755604658,On,NEM,Gas,N/A,2014-15,,,,,
BPIH PTY LIMITED,CORPORATE TOTAL,C,N/A,78204.0,21723.0,11861.0,22049.0,33910.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
CANUNDA POWER PTY LTD,CANUNDA WIND FARM,F,SA,445274.0,123687.0,17.0,156.0,173.0,0.001398691859289982,On,NEM,Wind,N/A,2014-15,Woakwine Range Wind Farm Tourist Drive,"Canunda Frontage Rd, Tantanoola SA 5280, Australia",SA,-37.7048969,140.3590018
CANUNDA POWER PTY LTD,CORPORATE TOTAL,C,N/A,445274.0,123687.0,17.0,156.0,173.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
CAPE BYRON MANAGEMENT PTY LTD,BROADWATER POWER PLANT,F,NSW,643940.0,178872.0,6032.0,1423.0,7455.0,0.041677847846504766,On,NEM,Bagasse,N/A,2014-15,Cape Byron Power Broadwater,"117 Baraang Dr, Broadwater NSW 2472, Australia",NSW,-29.012211999999995,153.43270819999998
CAPE BYRON MANAGEMENT PTY LTD,CONDONG POWER PLANT,F,NSW,375693.0,104359.0,3007.0,1687.0,4694.0,0.044979350127923805,On,NEM,Bagasse,N/A,2014-15,Cape Byron Power,"153 McLeod St, Urliup NSW 2484, Australia",NSW,-28.3143402,153.43434399999998
CAPE BYRON MANAGEMENT PTY LTD,CORPORATE TOTAL,C,N/A,1019633.0,283231.0,9039.0,3110.0,12149.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,DAANDINE POWER STATION,F,QLD,,,125058.0,0.0,125058.0,,On,NEM,Coal Seam Methane,"The electricity production data is unavailable for this facility, pending further clarification of the data reported and/or pending outcome of regulatory matters.  The data on this facility may be made available in future publications.",2014-15,Daandine Power Station,"Kogan QLD 4406, Australia",QLD,-27.0862544,150.9425973
CLARKE ENERGY (AUSTRALIA) PTY. LTD.,CORPORATE TOTAL,C,N/A,,,125058.0,0.0,125058.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
CONTRACT POWER AUSTRALIA PTY LTD,FMG CLOUD BREAK MINE SITE POWER STATION,F,WA,643454.0,178737.0,110575.0,0.0,110575.0,0.6186463910662034,Off,Off-grid,Diesel,N/A,2014-15,Cloudbreak,"Mulga Downs WA 6751, Australia",WA,-22.3270529,119.3968821
CONTRACT POWER AUSTRALIA PTY LTD,NORSEMAN GOLD POWER STATION,F,WA,50926.0,14146.0,10193.0,0.0,10193.0,0.7205570479287431,Off,Off-grid,Diesel,N/A,2014-15,Norseman Gold Project,"Norseman WA 6443, Australia",WA,-32.1945792,121.7939003
CONTRACT POWER AUSTRALIA PTY LTD,CORPORATE TOTAL,C,N/A,694380.0,192883.0,120768.0,0.0,120768.0,,N/A,N/A,N/A,N/A,2014-15,Total Corporate Services,"1/79 Bourke Rd, Alexandria NSW 2015, Australia",NSW,-33.9182057,151.18811259999998
CS ENERGY LIMITED,CALLIDE A POWER STATION,F,QLD,362952.0,100820.0,123177.0,43885.0,167062.0,1.6570323348541955,On,NEM,Black Coal,N/A,2014-15,Callide Power Station,"959 Biloela Callide Rd, Mount Murchison QLD 4715, Australia",QLD,-24.3462176,150.6189753
CS ENERGY LIMITED,CALLIDE B POWER STATION,F,QLD,12706326.0,3529535.0,3285158.0,34530.0,3319688.0,0.9405454259555437,On,NEM,Black Coal,N/A,2014-15,Callide Power Station,"959 Biloela Callide Rd, Mount Murchison QLD 4715, Australia",QLD,-24.3462176,150.6189753
CS ENERGY LIMITED,CALLIDE C POWER STATION,F,QLD,19988727.0,5552424.0,4961514.0,20952.0,4982466.0,0.8973496980778125,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made.",2014-15,Callide Power Station,"959 Biloela Callide Rd, Mount Murchison QLD 4715, Australia",QLD,-24.3462176,150.6189753
CS ENERGY LIMITED,KOGAN CREEK POWER STATION,F,QLD,20633364.0,5731490.0,4761463.0,2411.0,4763874.0,0.8311754883983048,On,NEM,Black Coal,N/A,2014-15,Kogan Creek Power Station,"1039 Banana Bridge Rd, Brigalow QLD 4412, Australia",QLD,-26.9146137,150.746994
CS ENERGY LIMITED,WIVENHOE POWER STATION,F,QLD,72877.0,20244.0,23.0,50466.0,50489.0,2.494022920371468,On,NEM,Hydro,N/A,2014-15,Becks Mitre 10 Wivenhoe,"46 Main Rd, Wivenhoe TAS 7320, Australia",TAS,-41.068222,145.937877
